;7.5.;28.5.;11.6.;17.6.;18.6.;2.7.;6.8.;20.8.;3.9.;24.9.
Marea;1;0;0;0;0;0;0;0;0;0
Feel It Still;1;0;0;0;0;0;0;0;0;0
Fk This Up;1;0;0;0;0;0;0;0;0;0
Playbox;1;0;0;1;0;0;0;0;0;0
E SAMBA 2018;1;0;0;0;0;0;0;0;0;0
El Polveron;1;0;0;0;0;0;0;0;0;0
Pepas;1;0;0;1;1;1;0;1;0;1
Love Tonight;1;0;0;1;0;0;0;1;0;1
Samba De Janeiro;1;0;0;1;0;0;0;1;0;0
Lipstick;1;0;0;1;0;1;0;1;0;0
Just Feels Tight;1;0;0;0;0;0;0;0;0;0
L'Amour Toujours;1;1;0;1;0;1;1;0;0;1
Voglio Vederti Danzare;1;0;0;1;0;1;1;0;0;1
Dragostea Din Tei;1;0;0;1;0;1;1;0;0;0
La danza delle streghe;1;1;0;0;0;1;1;0;0;0
Insomnia;1;0;0;0;0;1;0;0;0;0
Losing It;1;0;0;0;1;0;0;0;0;0
Rasputin;1;0;0;1;0;1;0;0;0;0
Ham kummst;1;1;0;0;0;0;0;0;1;0
Bla Bla Bla;1;0;0;0;0;1;1;0;0;0
Titanium;1;0;1;1;0;0;1;0;0;0
I Gotta Feeling;1;0;1;1;0;1;1;0;1;1
Scream and Shout;1;0;1;0;0;0;0;0;0;0
Levels;1;0;0;0;0;0;0;0;0;0
Memories;1;0;0;1;0;0;0;0;0;1
Can't Hold Us;1;0;1;1;0;1;0;0;1;0
Jump Around;1;0;0;0;1;0;1;1;0;1
Be Faithful;1;0;0;0;0;0;0;0;0;0
Without Me;1;0;0;1;1;1;0;0;0;1
Yeah!;1;0;0;0;0;0;0;0;0;0
Intergalactic vs. Rapture;1;0;0;0;0;0;0;0;0;0
Miami;1;0;0;0;0;0;0;0;0;0
Eye of the Tiger;1;0;0;0;0;0;0;0;0;0
Take On Me;1;0;0;0;0;0;0;0;0;0
Smalltown Boy;1;0;0;0;0;0;0;1;0;0
Here Comes The Rain Again;1;0;0;0;0;0;0;0;0;0
Africa;1;0;0;1;1;0;1;0;0;0
The Closing Time Song;1;0;0;0;0;0;0;0;0;0
La Isla Bonita;1;0;0;0;0;0;0;0;0;0
I Found A Love;0;1;0;0;0;0;0;0;0;0
Take Five;0;1;1;0;0;0;0;0;0;1
Dream A Little Dream Of Me;0;1;0;0;0;0;0;0;1;0
Let Love Flow On;0;1;0;0;0;0;1;0;1;1
Lovely Day;0;1;0;0;0;0;1;1;1;0
My Girl;0;1;0;0;0;0;0;0;1;1
Love's Themes;0;1;0;0;0;1;0;0;0;0
Around the Sun;0;1;0;0;0;0;0;0;0;1
About Love;0;1;0;0;0;0;0;0;0;0
Oh My Girl;0;1;0;0;0;0;0;0;1;1
Hey Joe;0;1;0;0;0;0;0;0;1;1
Bella Luna;0;1;0;0;0;0;0;0;0;0
Material Girl;0;1;0;0;0;0;0;0;0;0
The Time Is Now;0;1;0;0;0;0;0;0;1;1
Trip to Saint-Tropez;0;1;0;0;0;0;0;0;0;0
A Men's Scene;0;1;0;1;0;0;0;0;0;0
Rhythm Is Love;0;1;0;0;0;0;0;1;0;0
Blue Skies;0;1;0;0;0;0;0;0;0;0
Moon River;0;1;0;0;0;0;0;0;0;0
Better Together;0;1;0;0;0;0;0;0;0;0
Love Is Back;0;1;0;0;0;0;0;0;0;0
Ayo Technology;0;1;0;0;0;0;0;0;0;0
Cover Me In Sunshine;0;1;0;0;0;0;0;0;0;0
ORPHANS;0;1;0;0;0;0;0;0;0;0
Doo uap doo uap;0;1;0;1;0;0;0;0;0;0
Mission Impossible;0;0;0;0;0;0;0;0;0;0
Gonna Fly Now;0;1;0;0;0;0;0;0;1;1
Californication;0;1;0;0;0;0;0;0;0;0
Get Lucky;0;1;0;0;0;0;0;0;0;0
Young, Wild and Free;0;1;0;0;1;1;0;0;1;0
Regulate;0;1;0;0;0;0;0;1;0;0
Trapped By Love;0;1;0;0;0;0;0;0;0;0
Wearing Out My Shoes;0;1;0;0;0;0;0;0;0;0
Foto Viva;0;1;0;0;0;0;0;0;0;1
Small Steps;0;1;0;0;0;0;0;0;0;0
The Bottle;0;1;0;0;0;0;0;0;0;0
Te Faz Bem;0;1;0;0;0;0;0;0;0;0
When The Beat Drops Out;0;1;0;0;0;0;0;0;0;0
InnerCity Blues;0;1;0;0;0;0;0;0;0;0
Could you be loved;0;1;0;0;0;1;0;0;0;0
Primavera;0;1;0;0;0;0;0;0;0;0
You Know I'm No Good;0;1;0;0;0;0;0;0;0;0
The Brazilian Hipster;0;1;0;0;0;0;0;0;0;0
Oye Como Va;0;1;0;0;0;1;0;0;0;0
Call Up To Heaven;0;1;0;0;0;0;0;1;0;0
Habit;0;1;0;0;0;0;0;0;0;0
Feels;1;1;0;0;0;0;0;0;0;0
Havana;0;1;1;0;1;0;0;0;1;1
All That She Wants;0;1;0;0;0;0;0;0;1;0
Chapel Of Love;0;1;0;0;0;0;0;0;0;0
Pretty Women;0;1;0;0;0;0;0;0;0;0
Dancing in the Moonlight;0;1;0;0;0;0;0;0;0;0
Ever Fallen In Love;0;1;0;0;0;0;0;0;0;1
L.O.V.E. Love;0;1;0;0;0;0;0;0;0;0
Kiss;0;1;0;0;1;0;1;1;0;0
Herzallerliebst Walzer;0;1;0;0;0;0;0;0;0;0
La mazurka;0;1;0;0;0;0;0;0;0;0
Que Sera, Sera;0;1;0;0;0;0;0;0;0;0
La Mazurka Di Carolina;0;1;0;0;0;0;0;0;0;0
Maracaibo;0;1;0;0;0;0;0;0;0;0
AZZURRO;0;1;0;0;0;0;1;0;0;0
Stumblin' In;0;1;1;0;0;0;0;0;0;0
Blue (Da Ba Dee);0;1;0;1;0;0;1;0;0;0
I wanna dance with somebody;0;1;0;0;0;0;0;0;0;0
Blurred Lines;0;1;1;1;1;0;0;0;1;1
Don't Stop 'Til You Get Enough;0;1;0;0;0;1;0;0;0;0
 I Will Survive;0;1;0;0;0;0;0;0;0;0
Dopamine;1;1;1;1;0;0;0;0;1;0
Alors On Danse;0;1;0;1;0;0;0;0;1;1
Relax;0;1;0;0;0;0;0;0;0;0
Don't You Want Me;0;1;0;0;0;0;0;1;0;0
Sweet but Psycho;0;1;0;0;0;0;0;0;0;0
Shivers;0;1;0;0;0;0;0;0;0;0
Sommernachtswalzer;0;1;0;0;0;0;0;0;0;0
Perfect Symphony;0;1;1;1;0;0;0;0;0;1
You Never Can Tell;0;1;1;0;0;0;1;0;0;0
Lets Twist Again;0;1;1;0;0;0;1;0;0;0
Hit The Road Jack;0;1;0;0;0;0;0;0;0;0
The Ketchup Song;0;1;0;0;0;0;0;0;0;0
Livin' La Vida Loca;0;1;0;0;0;0;0;0;0;0
Macarena;0;1;1;1;0;0;1;0;1;0
Iko Iko;0;1;1;1;1;0;1;0;1;1
Shape Of You;0;1;1;1;0;0;0;0;0;0
Playa;0;1;0;1;0;0;0;0;0;0
Pistolero;0;1;0;0;0;0;0;0;0;0
Il triangolo;0;1;0;0;0;0;0;0;0;0
Kings & Queens;0;1;0;0;0;0;0;0;0;0
Hurra Die Gams;0;1;0;0;0;0;0;0;0;0
HULAPALU;0;1;0;0;0;0;1;0;1;0
Mama Laudaaa;0;1;0;0;0;0;0;0;0;0
MI FAI IMPAZZIRE;0;1;0;0;0;0;0;0;0;0
Self Control ;0;1;0;0;0;0;0;0;0;0
Everybody;1;1;0;1;0;0;1;0;1;1
aloha la tambra;0;0;1;1;1;1;0;0;1;0
Aber bitte mit Sahne;0;0;1;0;0;0;1;0;0;1
Ily;1;0;1;0;0;1;1;0;1;1
I love you baby;0;0;1;0;0;1;1;0;1;1
Love Is In The Air;0;0;1;1;0;1;0;0;1;0
L.O.V.E.;0;1;1;0;0;0;1;1;1;1
