;7.5.;28.5.;11.6.;17.6.;18.6.;2.7.;6.8.;20.8.;3.9.;24.9.
 Just Can't Get Enough;0;0;0;0;0;0;0;1;0;0
One More Time;0;0;0;0;0;0;0;1;1;0
Back Home;0;0;0;0;0;0;0;1;0;0
Nein, Mann!;0;0;0;0;0;0;0;1;0;0
Tainted Love;0;0;0;0;0;0;0;0;1;1
Dort;0;0;0;0;0;0;0;0;1;1
küssen kann man nicht alleine;0;0;0;0;0;0;0;0;1;0
MY BABY JUST CARES FOR ME;0;0;0;0;0;0;0;0;1;1
The Way You Look Tonight;0;0;0;0;0;0;0;0;1;0
05 September;0;0;0;0;0;0;0;0;1;0
L'italiano;0;0;0;0;0;0;0;0;1;0
Happy Together;0;0;0;0;0;0;0;0;1;0
Love Is In Town;0;0;0;0;0;0;0;0;1;0
Can't Get Enough Of Your Love;0;0;0;0;0;0;0;0;1;0
Sweet Chid O'mine;0;0;0;0;0;0;0;0;1;0
Zillertaler Hochzeitsmarsch;0;0;0;0;0;0;0;0;1;0
Atemlos durch die Nacht;0;0;0;0;0;0;0;0;1;0
Chiquita;0;0;0;0;0;0;0;0;1;0
La Cintura;0;0;0;0;0;0;0;0;1;0
Sippin' On Bacardi Rum;0;0;0;0;0;0;0;0;1;0
ilomilo;0;0;0;0;0;0;0;0;1;0
Su Di Noi;0;0;0;0;0;0;0;0;1;0
Willow;0;0;0;0;0;0;0;0;1;0
Regenbogenfarben;0;0;0;0;0;0;0;0;1;1
Achterbahn;0;0;0;0;0;0;0;0;1;0
Cheri Cheri Lady;0;0;0;0;0;0;0;0;1;0
Fireball;0;0;0;0;0;0;0;0;1;0
Ich Will Immer Wieder... Dieses Fieber Spur'n;0;0;0;0;0;0;0;0;1;0
Daddy Cool;0;0;0;0;0;0;0;0;1;1
Moskau;0;0;0;0;0;0;0;0;1;0
Herzbeben;0;0;0;0;0;0;0;0;1;0
...Baby One More Time;0;0;0;0;0;0;0;0;1;0
La Bomba;0;0;0;0;0;0;0;0;1;1
Einmal Um Die Welt;0;0;0;0;0;0;0;0;1;0
Ich Liebe Das Leben;0;0;0;0;0;0;0;0;1;0
Partyplanet;0;0;0;0;0;0;0;0;1;1
Faded Love;0;0;0;0;0;0;0;0;1;0
Magia;0;0;0;0;0;0;0;0;1;0
Yellow;0;0;0;0;0;0;1;0;1;0
Bed Of Roses;0;0;0;0;0;0;0;0;1;0
Outta Space;0;0;0;0;0;0;0;0;0;1
Breakdown;0;0;0;0;0;0;0;0;0;1
Beyond The Sea;0;0;0;0;0;0;0;0;0;1
You're Gonna Get Next to Me;0;0;0;0;0;0;0;0;0;1
Hadik Wildner;0;0;0;0;0;0;0;0;0;1
This Must Be The Place;0;0;0;0;0;0;0;0;0;1
Eljala;0;0;0;0;0;0;0;0;0;1
Summer Sun;0;0;0;0;0;0;0;0;0;1
It's Only Music;0;0;0;0;0;0;0;0;0;1
Crazy;0;0;0;0;0;0;0;0;0;1
Green Green Grass;0;0;0;0;0;0;0;0;0;1
West End Girls;0;0;0;0;0;0;0;0;0;1
Disco Sole;0;0;0;0;0;0;0;0;0;1
Cafe De Flore;0;0;0;0;0;0;0;0;0;1
Le Vent Nous Portera;0;0;0;0;0;0;0;0;0;1
Walk On The Wild Side;0;0;0;0;0;0;0;0;0;1
Escape;0;0;0;0;0;0;0;0;0;1
Kokomo;0;0;0;0;0;0;0;0;0;1
The Candy Man;0;0;0;0;0;0;0;0;0;1
Watermelon Sugar;0;0;0;0;0;0;0;0;0;1
Sweets for my Sweet;0;0;0;0;0;0;0;0;0;1
Hold On;0;0;0;0;0;0;0;0;0;1
Wishing Girl;0;0;0;0;0;0;0;0;0;1
Angelina;0;0;0;0;0;0;0;0;0;1
In Da Club;0;0;0;0;0;0;0;0;0;1
Paradise;0;0;0;0;0;0;0;0;0;1
DANZA KUDURO;0;0;0;0;0;0;0;0;0;1
De Pizzaiolo;0;0;0;0;0;0;0;0;0;1
Louis Louis;0;0;0;0;0;0;0;0;0;1
Promiscuous;0;0;0;0;0;0;0;0;0;1
Low;1;1;1;1;0;0;1;0;1;1
Pursuit Of Happiness;0;0;0;0;0;0;0;0;0;1
Der Zug hat keine Bremse;0;0;0;0;0;0;0;0;0;1
Layla;0;0;0;0;0;0;0;0;0;1
Bologna;0;0;0;0;0;0;0;0;0;1
Vielleicht Vielleicht;0;0;0;0;0;0;0;0;0;1
Lose Yourself;0;0;0;1;1;0;0;0;0;1
Maschin;0;0;0;0;0;0;0;0;0;1
