2.9.;3.9.;8.9.;9.9.;10.9.;16.9.;17.9.;22.9.;23.9.;30.9.
;A Sky Full of Stars (Robin Schulz Remix);Take It Easy - Original Mix;This Girl (Kungs vs Cookin' On 3 Burners) [Extended];Clocks (Cristian Poow Nu Disco Remix) (Extended);Aint Nobody [Instrumental];Die Reise - Akustik Version;Infinity 2018 - Extended Mix;;She Wolf (Falling to Pieces) [feat. Sia] [Ambient Version]
;Came Here for Love;Riders on the Storm - Original Mix;Hey Brother;A Sky Full of Stars (Robin Schulz Remix);Get Down Tonight;Unbezwingbar;On Repeat;;Without You
;Oxygen (Clean Extended);Acapulco (DJcity Intro);Herzbeben (Extended Mix);;Sun Is Shining (Clean Extended);Blinding Lights - Late Night Piano Remix;Despacito;Fireworks (Extended Mix);A Sky Full of Stars (Robin Schulz Remix)
;Rise (feat. Tasita D'Mour);Coco Jamboo - Calippo Remix Edit;Ab in den Süden [Radiocut]/Radiocut;Protectors of the Earth;Sugar (feat. Francesco Yates) (Extended Mix);Disparate Youth;La Cintura;King;Lovers on the Sun (feat. Sam Martin) (Extended)
;Stevie Knows - 7th Heaven Remix;Sun Goes Down (feat. Jasmine Thompson) (Extended Vocal Mix);Holland;The Race;Omi - Cheerleader (DJOK! Classic House Remix);Heart To Heart;Aserejé;Krejt Dashni;Levels [Original Version]
;OMI - Hula Hoop (MIKI Instrumental);Infinity (PRETTY YOUNG Remix);Miami (album version);Desce Pro Play (PA PA PA);Unbezwingbar;Musik sein;Around The World (Extended);Candyman;Bella Vita (DJ Antoine vs. Mad Mark 2k13 Extended Mix)
Clocks (Cristian Poow Nu Disco Remix) (Extended);Disparate Youth;Because You Move Me - Extended Mix;Pepas - Robin Schulz Remix;Tomorrow Can Wait [(Club Version)]/(Club Version);Disparate Youth;Hall Of Fame [Original Version];Let Me Think About It [Club Mix]/Club Mix;Lola's Theme;2012 (If The World Would End)
Dopamin (Extended MIx);Heart To Heart;Discovery Channel - Extended Mix;Disparate Youth;Ententanz (Dance Little Bird);Heart To Heart;Halt dich an mir fest [Duett Version]/Duett Version;I Know You Want Me (calle ocho) [Extended]/Extended;Clocks (Cristian Poow Nu Disco Remix) (Extended);Happy
Around The World (Extended);Musik sein;Der Kommissar - Mousse T. Remix;Hall Of Fame [Original Version];The Bad Touch;Hall Of Fame [Original Version];Remedy;Levels The Good Feeling (DJ EU Bootleg QH);This Time It's My Life - Extended Club Mix;Take On Me (Remastered Album Version)
This Time It's My Life - Extended Club Mix;Hall Of Fame [Original Version];Sugar (feat. Francesco Yates) (Henri PFR Remix);Happy;Dished (Male Stripper);Wir sind groß;Wir sind groß;Love Tonight - Edit;The Bad Touch;Blinding Lights (BPM Supreme Break Intro) (Clean Extended)
